time,step,loss,perplexity
33744,12330,2.8753905296325684,17.732347776689185
33746,12331,3.0491974353790283,21.09840479263053
33757,12335,2.928064346313477,18.691415350959776
33760,12336,3.1330723762512207,22.944365084024117
33768,12339,2.926201105117798,18.656621160922604
33774,12341,3.025709629058838,20.6086240019002
33776,12342,2.990203619003296,19.88973200667864
33779,12343,3.0439960956573486,20.98894972497984
33782,12344,2.792726993560791,16.32547862986848
33785,12345,3.1247267723083496,22.753677309402203
33790,12347,3.063595771789551,21.40438423394065
33793,12348,3.233548879623413,25.36953081186868
33804,12352,2.9411730766296387,18.93804906971561
33812,12355,2.911454916000366,18.38352560505161
33820,12358,2.9482908248901367,19.07332619869269
33825,12360,2.955336332321167,19.20818196597166
33828,12361,2.722996950149536,15.22588515475786
33831,12362,2.972769260406494,19.54597260610181
33842,12366,2.760531187057495,15.808237849779095
33853,12370,2.7424726486206055,15.525326351366576
33858,12372,2.7749335765838623,16.03756169064145
33866,12375,3.0114669799804688,20.31718297501474
33872,12377,2.5637171268463135,12.983990867499372
33877,12379,3.1215827465057373,22.6822515019643
33894,12385,2.8647613525390625,17.544865667289905
33902,12388,2.9226694107055664,18.590847890129005
33907,12390,2.5275278091430664,12.522509803786836
33910,12391,3.217900514602661,24.975629129873276
33918,12394,3.152390718460083,23.391921283542835
33924,12396,3.088856935501098,21.95197111025677
33932,12399,3.0023984909057617,20.13376972067571
33937,12401,3.4640822410583496,31.947126553722523
33962,12410,2.9089436531066895,18.337417658164167
33973,12414,2.877105236053467,17.76277963067083
33978,12416,2.9780144691467285,19.64876465967097
33981,12417,2.890657424926758,18.005142741071488
33984,12418,2.8720626831054688,17.67343532489139
33989,12420,2.899910688400269,18.172522279927804
33992,12421,2.992722749710083,19.93990000466796
34005,12426,2.9810752868652344,19.708998081425065
34008,12427,2.758111476898194,15.770032737343575
34011,12428,2.984053373336792,19.76778066834753
34014,12429,2.9815986156463623,19.71931506672048
34022,12432,2.826463460922241,16.88563838469299
34027,12434,2.8679800033569336,17.60142744098865
34033,12436,2.8581862449645996,17.42988470847274
34060,12446,3.111938714981079,22.464554578706263
34063,12447,2.9869394302368164,19.824914013529284
34068,12449,2.947702646255493,19.062110974332036
34071,12450,3.0972843170166016,22.13775046304745
34074,12451,2.9488303661346436,19.08361982151414
34076,12452,2.8741350173950195,17.710098567055205
34079,12453,3.023109436035156,20.555107208691226
34084,12455,2.9938814640045166,19.963018042847036
34101,12461,3.0774006843566895,21.701918881519138
34112,12465,2.8327126502990723,16.991490336673984
34114,12466,2.8565032482147217,17.40057494019828
34123,12469,3.2331156730651855,25.358542944921673
34125,12470,2.9304399490356445,18.735871512330355
34128,12471,2.8160202503204346,16.710215689278463
34136,12474,3.049818992614746,21.111522735145208
34142,12476,3.0686898231506348,21.513697453774963
34147,12478,2.899834632873535,18.17114021173136
34150,12479,3.5748302936553955,35.688563726013015
34155,12481,2.8923239707946777,18.035174154721386
34161,12483,2.8847496509552,17.899086015477074
34163,12484,3.154703140258789,23.44607586221492
34169,12486,2.925825595855713,18.649616742071853
34174,12488,3.168332576751709,23.767820281119917
34199,12497,3.1469247341156006,23.264410212249715
34202,12498,2.90059757232666,18.185008981350183
34210,12501,3.064009666442871,21.413245227765177
34213,12502,2.88745641708374,17.94760028400468
34229,12508,3.2238285541534424,25.12412535805104
34237,12511,3.1663613319396973,23.721014236940412
34243,12513,2.946579694747925,19.04071716243081
34245,12514,2.957930326461792,19.258072557419055
34251,12516,2.8165667057037354,16.71934957200039
34270,12523,3.1644515991210938,23.675756666250415
34275,12525,3.180079460144043,24.04866438648209
34278,12526,2.736915349960327,15.43928677128928
34294,12532,2.6601574420928955,14.298540113551534
34300,12534,2.9688680171966553,19.469867561860724
34313,12539,3.080690860748291,21.77343961607253
34322,12542,2.9377503395080566,18.87333991054795
34333,12546,2.9020843505859375,18.21206616638147
34338,12548,2.9014546871185303,18.200602303217178
34341,12549,2.9328842163085938,18.781723003719947
34343,12550,2.8964285850524902,18.10935372280818
34368,12559,2.830686092376709,16.95709096525178
34371,12560,3.015611171722412,20.401555985131143
34376,12562,2.9233102798461914,18.60276600940936
34382,12564,2.9034693241119385,18.237306870694688
34387,12566,3.083672046661377,21.83844713914538
34395,12569,2.917513608932495,18.495243833178503
34403,12572,2.8405256271362305,17.12476441278899
34406,12573,2.9165706634521484,18.477812046501946
34409,12574,3.144195079803467,23.20099300749467
34412,12575,2.852182626724243,17.325555823472204
34422,12579,2.9964871406555176,20.015103041708016
34428,12581,3.1126437187194824,22.480397757759835
34436,12584,2.9599695205688477,19.297383573265034
34439,12585,3.1544809341430664,23.440866579557305
34442,12586,2.9389901161193848,18.896753146538945
34458,12592,3.035674571990967,20.81501439033092
34463,12594,2.943611860275269,18.984291238470007
34474,12598,3.1272435188293457,22.811014669146207
34480,12600,2.855647563934326,17.3856919102476
34482,12601,2.8744430541992188,17.715554769532297
34493,12605,3.155764102935791,23.470964474236467
34496,12606,2.7474098205566406,15.602167088805588
34502,12608,2.7309529781341553,15.347505890596333
34504,12609,2.823854446411133,16.841640929075467
34523,12616,2.8050224781036377,16.52744740756301
34532,12619,2.8198108673095703,16.773677921280225
34537,12621,3.2420101165771484,25.585099124671608
34553,12627,3.0974366664886475,22.14112339456842
34562,12630,3.0619778633117676,21.369781898480777
34564,12631,3.0853452682495117,21.875018287635253
34567,12632,2.9697952270507812,19.487928586808813
34572,12634,2.784450054168701,16.190911303744357
34583,12638,3.019237995147705,20.47568316813754
34586,12639,2.765794038772583,15.891653571211048
34592,12641,2.9797983169555664,19.68384634634763
34594,12642,2.99178409576416,19.92119212033558
34597,12643,2.823638916015625,16.838011434692255
34600,12644,2.870615720748902,17.647881021780957
34611,12648,2.8301138877868652,16.947390815470847
34616,12650,2.9947261810302734,19.979888268353537
34619,12651,3.1751019954681396,23.92926042002919
34622,12652,2.800800085067749,16.45780915223317
34627,12654,3.096794605255127,22.126912000351037
34630,12655,3.009256601333618,20.27232390363363
