"total_training_time","baseline - train/loss","baseline - train/loss__MIN","baseline - train/loss__MAX","baseline - _step","baseline - _step__MIN","baseline - _step__MAX"
"42450.09915018082","2.786886325382647","2.786886325382647","2.786886325382647","223","223","223"
"42717.05128455162","2.879406750149097","2.879406750149097","2.879406750149097","225","225","225"
"42983.95111179352","2.817608890585384","2.817608890585384","2.817608890585384","226","226","226"
"43250.7676858902","2.823514009184863","2.823514009184863","2.823514009184863","227","227","227"
"43517.76518392563","2.744456490529384","2.744456490529384","2.744456490529384","229","229","229"
"43784.71031117439","2.839347816451461","2.839347816451461","2.839347816451461","230","230","230"
"44051.552146434784","2.8924205399236587","2.8924205399236587","2.8924205399236587","232","232","232"
"44318.5130712986","2.8056509193662365","2.8056509193662365","2.8056509193662365","233","233","233"
"44585.233792066574","2.7968197629189415","2.7968197629189415","2.7968197629189415","234","234","234"
"44852.05046916008","2.7850535117559225","2.7850535117559225","2.7850535117559225","236","236","236"
"45119.00871729851","2.8850848274897753","2.8850848274897753","2.8850848274897753","237","237","237"
"45386.23735308647","2.780203459105349","2.780203459105349","2.780203459105349","239","239","239"
"45653.41951799393","2.8259166805208995","2.8259166805208995","2.8259166805208995","240","240","240"
"45920.92636489868","2.84449149053839","2.84449149053839","2.84449149053839","241","241","241"
"46188.70233511925","2.8101866318762485","2.8101866318762485","2.8101866318762485","243","243","243"
"46456.1363055706","2.818089876791003","2.818089876791003","2.818089876791003","244","244","244"
"46723.4877204895","2.84228529567809","2.84228529567809","2.84228529567809","246","246","246"
"46990.47773361206","2.7893344845210826","2.7893344845210826","2.7893344845210826","247","247","247"
"47257.332020998","2.808953219724905","2.808953219724905","2.808953219724905","248","248","248"
"47524.37812614441","2.833947545995624","2.833947545995624","2.833947545995624","250","250","250"
"47791.441948890686","2.798799112182214","2.798799112182214","2.798799112182214","251","251","251"
"48058.22460269928","2.8068146373156795","2.8068146373156795","2.8068146373156795","253","253","253"
"48324.90665268898","2.79211002637949","2.79211002637949","2.79211002637949","254","254","254"
"48591.89082598686","2.8079034772147033","2.8079034772147033","2.8079034772147033","255","255","255"
"48858.65706205368","2.7646440203066893","2.7646440203066893","2.7646440203066893","257","257","257"
"49125.72135090828","2.7288154722149343","2.7288154722149343","2.7288154722149343","258","258","258"
"49392.76097488403","2.8969602907253953","2.8969602907253953","2.8969602907253953","260","260","260"
"49659.86475253105","2.8550084706044405","2.8550084706044405","2.8550084706044405","261","261","261"
"49926.5898809433","2.765255705232487","2.765255705232487","2.765255705232487","262","262","262"
"50193.711629867554","2.824950292920697","2.824950292920697","2.824950292920697","264","264","264"
"50460.87319612503","2.722734699938708","2.722734699938708","2.722734699938708","265","265","265"
"50727.73298239708","2.7753768255770837","2.7753768255770837","2.7753768255770837","267","267","267"
"50994.71582484245","2.7250797280886028","2.7250797280886028","2.7250797280886028","268","268","268"
"51261.83360290527","2.7775137744290626","2.7775137744290626","2.7775137744290626","269","269","269"
"51528.69062924385","2.7366227714193","2.7366227714193","2.7366227714193","271","271","271"
"51795.658769607544","2.709174666990322","2.709174666990322","2.709174666990322","272","272","272"
"52062.881635427475","2.8114837400568424","2.8114837400568424","2.8114837400568424","274","274","274"
"52329.5833568573","2.7262701209388744","2.7262701209388744","2.7262701209388744","275","275","275"
"52596.48521542549","2.7458848933781352","2.7458848933781352","2.7458848933781352","276","276","276"
"52863.666192531586","2.7094074909770365","2.7094074909770365","2.7094074909770365","278","278","278"
"53130.92906975746","2.6712424348631187","2.6712424348631187","2.6712424348631187","279","279","279"
"53398.44821333885","2.725490956228631","2.725490956228631","2.725490956228631","281","281","281"
