"time","bs8,tbs524288,seq2048 - client_1/train_loss","bs8,tbs524288,seq2048 - client_1/train_loss__MIN","bs8,tbs524288,seq2048 - client_1/train_loss__MAX","bs8,tbs524288,seq2048 - _step","bs8,tbs524288,seq2048 - _step__MIN","bs8,tbs524288,seq2048 - _step__MAX"
"37047","2.846982955932617","2.846982955932617","2.846982955932617","14535","14535","14535"
"37050","3.2295374870300293","3.2295374870300293","3.2295374870300293","14539","14539","14539"
"37053","3.0017194747924805","3.0017194747924805","3.0017194747924805","14540","14540","14540"
"37056","2.8418211936950684","2.8418211936950684","2.8418211936950684","14541","14541","14541"
"37058","2.903654098510742","2.903654098510742","2.903654098510742","14542","14542","14542"
"37061","3.0637738704681396","3.0637738704681396","3.0637738704681396","14547","14547","14547"
"37064","2.974132537841797","2.974132537841797","2.974132537841797","14548","14548","14548"
"37066","2.6846113204956055","2.6846113204956055","2.6846113204956055","14549","14549","14549"
"37069","2.7982614040374756","2.7982614040374756","2.7982614040374756","14550","14550","14550"
"37072","3.0239920616149902","3.0239920616149902","3.0239920616149902","14555","14555","14555"
"37075","3.124622344970703","3.124622344970703","3.124622344970703","14556","14556","14556"
"37077","2.759296178817749","2.759296178817749","2.759296178817749","14557","14557","14557"
"37080","2.963794231414795","2.963794231414795","2.963794231414795","14561","14561","14561"
"37083","2.713104248046875","2.713104248046875","2.713104248046875","14562","14562","14562"
"37086","2.7667152881622314","2.7667152881622314","2.7667152881622314","14563","14563","14563"
"37088","2.940795660018921","2.940795660018921","2.940795660018921","14564","14564","14564"
"37091","2.873994827270508","2.873994827270508","2.873994827270508","14569","14569","14569"
"37094","2.8246073722839355","2.8246073722839355","2.8246073722839355","14570","14570","14570"
"37096","2.9047441482543945","2.9047441482543945","2.9047441482543945","14571","14571","14571"
"37099","2.897388458251953","2.897388458251953","2.897388458251953","14572","14572","14572"
"37102","2.8146729469299316","2.8146729469299316","2.8146729469299316","14576","14576","14576"
"37105","3.261894702911377","3.261894702911377","3.261894702911377","14577","14577","14577"
"37107","2.640228509902954","2.640228509902954","2.640228509902954","14578","14578","14578"
"37110","2.91764497756958","2.91764497756958","2.91764497756958","14583","14583","14583"
"37113","3.090188503265381","3.090188503265381","3.090188503265381","14584","14584","14584"
"37116","2.985883951187134","2.985883951187134","2.985883951187134","14585","14585","14585"
"37118","2.923065423965454","2.923065423965454","2.923065423965454","14586","14586","14586"
"37121","3.2295334339141846","3.2295334339141846","3.2295334339141846","14591","14591","14591"
