"time","single - client_0/train_loss","single - client_0/train_loss__MIN","single - client_0/train_loss__MAX","single - _step","single - _step__MIN","single - _step__MAX"
"837","3.699537754058838","3.699537754058838","3.699537754058838","277","277","277"
"845","3.9275426864624023","3.9275426864624023","3.9275426864624023","280","280","280"
"853","3.8933067321777344","3.8933067321777344","3.8933067321777344","283","283","283"
"861","3.861868381500244","3.861868381500244","3.861868381500244","286","286","286"
"869","4.092292785644531","4.092292785644531","4.092292785644531","289","289","289"
"875","3.851057767868042","3.851057767868042","3.851057767868042","291","291","291"
"883","3.8322973251342773","3.8322973251342773","3.8322973251342773","294","294","294"
"900","3.4692749977111816","3.4692749977111816","3.4692749977111816","300","300","300"
"905","3.9437670707702637","3.9437670707702637","3.9437670707702637","302","302","302"
"908","3.9185478687286377","3.9185478687286377","3.9185478687286377","303","303","303"
"911","3.7229156494140625","3.7229156494140625","3.7229156494140625","304","304","304"
"913","3.5044755935668945","3.5044755935668945","3.5044755935668945","305","305","305"
"922","3.7399497032165527","3.7399497032165527","3.7399497032165527","308","308","308"
"924","3.7841134071350098","3.7841134071350098","3.7841134071350098","309","309","309"
"935","4.051415920257568","4.051415920257568","4.051415920257568","313","313","313"
"938","3.801457405090332","3.801457405090332","3.801457405090332","314","314","314"
"944","3.774021625518799","3.774021625518799","3.774021625518799","316","316","316"
"946","3.968963623046875","3.968963623046875","3.968963623046875","317","317","317"
"952","3.7950263023376465","3.7950263023376465","3.7950263023376465","319","319","319"
"966","3.720940113067627","3.720940113067627","3.720940113067627","324","324","324"
"968","3.7543692588806152","3.7543692588806152","3.7543692588806152","325","325","325"
"982","3.8292763233184814","3.8292763233184814","3.8292763233184814","330","330","330"
"985","3.3798351287841797","3.3798351287841797","3.3798351287841797","331","331","331"
"996","3.625321388244629","3.625321388244629","3.625321388244629","335","335","335"
"998","3.883779525756836","3.883779525756836","3.883779525756836","336","336","336"
"1001","3.759127616882324","3.759127616882324","3.759127616882324","337","337","337"
"1018","3.785642385482788","3.785642385482788","3.785642385482788","343","343","343"
"1026","3.766766309738159","3.766766309738159","3.766766309738159","346","346","346"
"1031","3.977856159210205","3.977856159210205","3.977856159210205","348","348","348"
"1037","3.7649612426757812","3.7649612426757812","3.7649612426757812","350","350","350"
"1042","3.574113130569458","3.574113130569458","3.574113130569458","352","352","352"
"1051","3.361677408218384","3.361677408218384","3.361677408218384","355","355","355"
"1064","3.7730727195739746","3.7730727195739746","3.7730727195739746","360","360","360"
"1067","3.6751370429992676","3.6751370429992676","3.6751370429992676","361","361","361"
"1075","3.683391571044922","3.683391571044922","3.683391571044922","364","364","364"
"1081","3.533437728881836","3.533437728881836","3.533437728881836","366","366","366"
"1083","3.6230077743530273","3.6230077743530273","3.6230077743530273","367","367","367"
"1089","3.36051869392395","3.36051869392395","3.36051869392395","369","369","369"
