"time","2 client - client_0/train_loss","2 client - client_0/train_loss__MIN","2 client - client_0/train_loss__MAX","2 client - _step","2 client - _step__MIN","2 client - _step__MAX"
"499","4.402019023895264","4.402019023895264","4.402019023895264","298","298","298"
"501","4.420083045959473","4.420083045959473","4.420083045959473","303","303","303"
"504","4.500995635986328","4.500995635986328","4.500995635986328","304","304","304"
"507","4.447146415710449","4.447146415710449","4.447146415710449","305","305","305"
"510","4.365076541900635","4.365076541900635","4.365076541900635","306","306","306"
"512","4.636407375335693","4.636407375335693","4.636407375335693","311","311","311"
"515","4.463539123535156","4.463539123535156","4.463539123535156","312","312","312"
"518","4.673163414001465","4.673163414001465","4.673163414001465","313","313","313"
"521","4.522259712219238","4.522259712219238","4.522259712219238","317","317","317"
"526","4.713100910186768","4.713100910186768","4.713100910186768","319","319","319"
"529","4.542294502258301","4.542294502258301","4.542294502258301","320","320","320"
"532","4.304358005523682","4.304358005523682","4.304358005523682","325","325","325"
"537","4.476705551147461","4.476705551147461","4.476705551147461","327","327","327"
"540","4.430051803588867","4.430051803588867","4.430051803588867","328","328","328"
"543","4.54229736328125","4.54229736328125","4.54229736328125","332","332","332"
"545","4.278777599334717","4.278777599334717","4.278777599334717","333","333","333"
"548","4.457587718963623","4.457587718963623","4.457587718963623","334","334","334"
"551","4.274721622467041","4.274721622467041","4.274721622467041","339","339","339"
"554","4.311739921569824","4.311739921569824","4.311739921569824","340","340","340"
"556","4.2160725593566895","4.2160725593566895","4.2160725593566895","341","341","341"
"559","4.235717296600342","4.235717296600342","4.235717296600342","342","342","342"
"562","4.6787004470825195","4.6787004470825195","4.6787004470825195","347","347","347"
"565","4.411149024963379","4.411149024963379","4.411149024963379","348","348","348"
"567","4.137043476104736","4.137043476104736","4.137043476104736","349","349","349"
"570","4.216319561004639","4.216319561004639","4.216319561004639","353","353","353"
"573","4.403409004211426","4.403409004211426","4.403409004211426","354","354","354"
"578","4.293333530426025","4.293333530426025","4.293333530426025","356","356","356"
"581","4.203580856323242","4.203580856323242","4.203580856323242","361","361","361"
"584","4.354772567749023","4.354772567749023","4.354772567749023","362","362","362"
"587","4.065164566040039","4.065164566040039","4.065164566040039","363","363","363"
"589","4.280379295349121","4.280379295349121","4.280379295349121","364","364","364"
"595","4.1353607177734375","4.1353607177734375","4.1353607177734375","369","369","369"
"600","3.9610328674316406","3.9610328674316406","3.9610328674316406","375","375","375"
"740","7.201589107513428","7.201589107513428","7.201589107513428","380","380","380"
"742","4.902467727661133","4.902467727661133","4.902467727661133","384","384","384"
"745","4.894340515136719","4.894340515136719","4.894340515136719","385","385","385"
"748","4.699032783508301","4.699032783508301","4.699032783508301","386","386","386"
"751","4.829989433288574","4.829989433288574","4.829989433288574","391","391","391"
"753","5.118546485900879","5.118546485900879","5.118546485900879","392","392","392"
"756","4.83970832824707","4.83970832824707","4.83970832824707","393","393","393"
"759","5.266290187835693","5.266290187835693","5.266290187835693","394","394","394"
"761","4.975943565368652","4.975943565368652","4.975943565368652","398","398","398"
"767","4.626605033874512","4.626605033874512","4.626605033874512","400","400","400"
"770","4.63176155090332","4.63176155090332","4.63176155090332","401","401","401"
"772","4.604891300201416","4.604891300201416","4.604891300201416","406","406","406"
"775","4.562432289123535","4.562432289123535","4.562432289123535","407","407","407"
"778","4.615464210510254","4.615464210510254","4.615464210510254","408","408","408"
"783","4.612225532531738","4.612225532531738","4.612225532531738","413","413","413"
"786","4.376590728759766","4.376590728759766","4.376590728759766","414","414","414"
"789","4.738755702972412","4.738755702972412","4.738755702972412","415","415","415"
"794","4.481827259063721","4.481827259063721","4.481827259063721","421","421","421"
"797","4.5549116134643555","4.5549116134643555","4.5549116134643555","422","422","422"
"800","4.551273822784424","4.551273822784424","4.551273822784424","423","423","423"
"802","4.609164237976074","4.609164237976074","4.609164237976074","428","428","428"
"808","4.562595844268799","4.562595844268799","4.562595844268799","430","430","430"
"811","4.73576545715332","4.73576545715332","4.73576545715332","434","434","434"
"816","4.411092758178711","4.411092758178711","4.411092758178711","436","436","436"
"819","4.237285137176514","4.237285137176514","4.237285137176514","437","437","437"
"822","4.457756042480469","4.457756042480469","4.457756042480469","442","442","442"
"824","4.617936611175537","4.617936611175537","4.617936611175537","443","443","443"
"827","4.52982759475708","4.52982759475708","4.52982759475708","444","444","444"
"830","4.392253875732422","4.392253875732422","4.392253875732422","445","445","445"
"833","4.42913293838501","4.42913293838501","4.42913293838501","449","449","449"
"835","4.678158760070801","4.678158760070801","4.678158760070801","450","450","450"
"838","4.463977336883545","4.463977336883545","4.463977336883545","451","451","451"
"841","4.289889335632324","4.289889335632324","4.289889335632324","456","456","456"
"844","4.785201072692871","4.785201072692871","4.785201072692871","457","457","457"
"846","4.438546180725098","4.438546180725098","4.438546180725098","458","458","458"
"849","4.37303352355957","4.37303352355957","4.37303352355957","459","459","459"
"855","4.239753723144531","4.239753723144531","4.239753723144531","465","465","465"
"857","4.34710168838501","4.34710168838501","4.34710168838501","466","466","466"
"860","4.24664306640625","4.24664306640625","4.24664306640625","467","467","467"
"863","4.216733455657959","4.216733455657959","4.216733455657959","471","471","471"
"866","4.359905242919922","4.359905242919922","4.359905242919922","472","472","472"
"868","4.07234001159668","4.07234001159668","4.07234001159668","473","473","473"
"871","4.382400035858154","4.382400035858154","4.382400035858154","478","478","478"
"874","4.601992607116699","4.601992607116699","4.601992607116699","479","479","479"
"877","4.163092613220215","4.163092613220215","4.163092613220215","480","480","480"
"879","4.14445686340332","4.14445686340332","4.14445686340332","481","481","481"
"882","4.177834510803223","4.177834510803223","4.177834510803223","485","485","485"
"885","4.317700386047363","4.317700386047363","4.317700386047363","486","486","486"
"890","4.199310302734375","4.199310302734375","4.199310302734375","492","492","492"
"893","4.304322719573975","4.304322719573975","4.304322719573975","493","493","493"
"896","4.354137420654297","4.354137420654297","4.354137420654297","494","494","494"
"899","4.156858921051025","4.156858921051025","4.156858921051025","495","495","495"
"901","4.212442398071289","4.212442398071289","4.212442398071289","500","500","500"
"904","4.260782241821289","4.260782241821289","4.260782241821289","501","501","501"
"907","4.108673095703125","4.108673095703125","4.108673095703125","502","502","502"
"910","4.130182266235352","4.130182266235352","4.130182266235352","503","503","503"
"912","4.278322219848633","4.278322219848633","4.278322219848633","507","507","507"
"915","4.223891258239746","4.223891258239746","4.223891258239746","508","508","508"
"918","4.413129806518555","4.413129806518555","4.413129806518555","509","509","509"
"921","4.117758750915527","4.117758750915527","4.117758750915527","514","514","514"
"923","4.338812351226807","4.338812351226807","4.338812351226807","515","515","515"
"926","4.199812412261963","4.199812412261963","4.199812412261963","516","516","516"
"929","4.039907455444336","4.039907455444336","4.039907455444336","517","517","517"
"932","4.069509029388428","4.069509029388428","4.069509029388428","521","521","521"
"937","4.001195907592773","4.001195907592773","4.001195907592773","523","523","523"
"940","4.078548908233643","4.078548908233643","4.078548908233643","524","524","524"
"943","4.092170715332031","4.092170715332031","4.092170715332031","529","529","529"
"948","4.181999206542969","4.181999206542969","4.181999206542969","531","531","531"
"954","4.065756797790527","4.065756797790527","4.065756797790527","537","537","537"
"956","3.9451987743377686","3.9451987743377686","3.9451987743377686","538","538","538"
"959","4.007132053375244","4.007132053375244","4.007132053375244","539","539","539"
"962","3.8715882301330566","3.8715882301330566","3.8715882301330566","543","543","543"
"965","4.0392866134643555","4.0392866134643555","4.0392866134643555","544","544","544"
"967","4.058819770812988","4.058819770812988","4.058819770812988","545","545","545"
"970","4.3199872970581055","4.3199872970581055","4.3199872970581055","546","546","546"
"973","4.076173782348633","4.076173782348633","4.076173782348633","551","551","551"
"976","4.11450719833374","4.11450719833374","4.11450719833374","552","552","552"
"978","3.963156223297119","3.963156223297119","3.963156223297119","553","553","553"
"981","4.0497212409973145","4.0497212409973145","4.0497212409973145","557","557","557"
"984","4.027867317199707","4.027867317199707","4.027867317199707","558","558","558"
"987","3.960923671722412","3.960923671722412","3.960923671722412","559","559","559"
"989","4.018653869628906","4.018653869628906","4.018653869628906","560","560","560"
"992","3.978588819503784","3.978588819503784","3.978588819503784","565","565","565"
"998","3.976133346557617","3.976133346557617","3.976133346557617","567","567","567"
"1000","4.080778121948242","4.080778121948242","4.080778121948242","568","568","568"
"1003","3.9846861362457275","3.9846861362457275","3.9846861362457275","573","573","573"
"1009","4.213870048522949","4.213870048522949","4.213870048522949","575","575","575"
"1011","4.090123653411865","4.090123653411865","4.090123653411865","579","579","579"
"1014","4.001021385192871","4.001021385192871","4.001021385192871","580","580","580"
"1017","3.894026279449463","3.894026279449463","3.894026279449463","581","581","581"
"1020","4.1020941734313965","4.1020941734313965","4.1020941734313965","582","582","582"
"1022","3.9620251655578613","3.9620251655578613","3.9620251655578613","587","587","587"
"1031","4.047566890716553","4.047566890716553","4.047566890716553","593","593","593"
"1036","3.994614601135254","3.994614601135254","3.994614601135254","595","595","595"
"1039","4.370349407196045","4.370349407196045","4.370349407196045","596","596","596"
"1041","4.094695091247559","4.094695091247559","4.094695091247559","601","601","601"
"1044","3.8034558296203613","3.8034558296203613","3.8034558296203613","602","602","602"
"1047","4.107920169830322","4.107920169830322","4.107920169830322","603","603","603"
"1050","3.9939398765563965","3.9939398765563965","3.9939398765563965","604","604","604"
"1052","3.8626654148101807","3.8626654148101807","3.8626654148101807","609","609","609"
"1055","3.9335060119628906","3.9335060119628906","3.9335060119628906","610","610","610"
"1058","4.030652046203613","4.030652046203613","4.030652046203613","611","611","611"
"1061","4.229743957519531","4.229743957519531","4.229743957519531","615","615","615"
"1063","3.841341018676758","3.841341018676758","3.841341018676758","616","616","616"
"1066","3.9664831161499023","3.9664831161499023","3.9664831161499023","617","617","617"
"1072","3.941056966781616","3.941056966781616","3.941056966781616","623","623","623"
"1074","3.7627062797546387","3.7627062797546387","3.7627062797546387","624","624","624"
"1077","4.031649589538574","4.031649589538574","4.031649589538574","625","625","625"
"1080","3.9328453540802","3.9328453540802","3.9328453540802","626","626","626"
"1083","4.172588348388672","4.172588348388672","4.172588348388672","630","630","630"
"1085","3.9677937030792236","3.9677937030792236","3.9677937030792236","631","631","631"
"1088","3.936396598815918","3.936396598815918","3.936396598815918","632","632","632"
"1091","4.128145217895508","4.128145217895508","4.128145217895508","637","637","637"
"1094","3.8559067249298096","3.8559067249298096","3.8559067249298096","638","638","638"
"1096","3.8705945014953613","3.8705945014953613","3.8705945014953613","639","639","639"
"1099","3.718790054321289","3.718790054321289","3.718790054321289","640","640","640"
"1102","3.837015151977539","3.837015151977539","3.837015151977539","645","645","645"
"1105","3.7942299842834473","3.7942299842834473","3.7942299842834473","646","646","646"
"1107","3.855602741241455","3.855602741241455","3.855602741241455","647","647","647"
"1110","3.833652973175049","3.833652973175049","3.833652973175049","648","648","648"
"1113","3.923856735229492","3.923856735229492","3.923856735229492","652","652","652"
